Vardas              Pavarde             ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       Egz.
Vardas5834          Pavarde5834         9         1         3         7         8         4         9         7         6
Vardas5835          Pavarde5835         7         1         7         4         5         3         8         1         1
Vardas5836          Pavarde5836         2         5         6         10        9         8         4         7         8
Vardas5837          Pavarde5837         4         5         9         10        7         9         2         5         5
Vardas5838          Pavarde5838         6         3         6         3         1         5         6         8         9
Vardas5839          Pavarde5839         2         2         8         10        7         2         4         10        3
Vardas5840          Pavarde5840         9         8         3         2         5         6         9         8         8
Vardas5841          Pavarde5841         2         9         2         9         3         10        7         1         8
Vardas5842          Pavarde5842         5         4         3         7         10        7         1         10        1
Vardas5843          Pavarde5843         8         10        8         10        10        5         1         10        1
Vardas5844          Pavarde5844         5         1         4         6         3         4         1         7         5
Vardas5845          Pavarde5845         1         9         5         5         7         1         7         8         1
Vardas5846          Pavarde5846         7         7         5         5         1         6         3         2         9
Vardas5847          Pavarde5847         10        7         8         3         2         2         5         6         10
Vardas5848          Pavarde5848         5         10        2         7         4         3         7         6         9
Vardas5849          Pavarde5849         5         4         3         7         9         1         8         3         4
Vardas5850          Pavarde5850         10        6         3         8         8         6         8         5         8
Vardas5851          Pavarde5851         10        6         5         7         1         1         6         10        8
Vardas5852          Pavarde5852         6         4         6         2         7         5         10        2         4
Vardas5853          Pavarde5853         4         10        7         4         9         1         9         8         1
Vardas5854          Pavarde5854         10        1         10        7         4         6         2         6         7
Vardas5855          Pavarde5855         8         2         7         4         5         8         1         7         7
Vardas5856          Pavarde5856         3         9         10        10        5         3         1         5         1
Vardas5857          Pavarde5857         10        10        10        6         2         2         6         6         2
Vardas5858          Pavarde5858         5         10        6         6         2         3         4         1         9
Vardas5859          Pavarde5859         6         2         9         6         7         4         1         2         8
Vardas5860          Pavarde5860         8         3         2         10        1         2         2         3         8
Vardas5861          Pavarde5861         5         2         2         7         5         5         2         6         1
Vardas5862          Pavarde5862         8         4         4         9         1         2         4         10        8
Vardas5863          Pavarde5863         4         8         7         8         1         3         6         10        8
Vardas5864          Pavarde5864         5         10        4         3         1         2         8         1         2
Vardas5865          Pavarde5865         9         2         3         8         8         2         5         7         5
Vardas5866          Pavarde5866         2         5         1         4         2         7         9         9         7
Vardas5867          Pavarde5867         9         1         5         7         10        9         10        3         1
Vardas5868          Pavarde5868         3         5         8         5         5         9         2         6         1
Vardas5869          Pavarde5869         9         1         8         7         2         2         3         9         8
Vardas5870          Pavarde5870         10        1         3         1         5         9         7         7         10
Vardas5871          Pavarde5871         8         7         3         9         4         10        3         6         1
Vardas5872          Pavarde5872         3         6         8         2         9         5         7         3         4
Vardas5873          Pavarde5873         10        1         8         7         3         2         6         3         6
Vardas5874          Pavarde5874         10        10        2         5         9         7         6         3         5
Vardas5875          Pavarde5875         9         5         9         5         2         1         2         6         8
Vardas5876          Pavarde5876         6         4         6         7         10        6         10        2         8
Vardas5877          Pavarde5877         10        2         3         9         8         10        2         10        1
Vardas5878          Pavarde5878         2         7         2         6         6         4         1         6         6
Vardas5879          Pavarde5879         3         6         8         10        10        1         3         5         8
Vardas5880          Pavarde5880         7         8         7         1         9         7         4         3         8
Vardas5881          Pavarde5881         3         10        2         9         10        6         3         10        1
Vardas5882          Pavarde5882         7         6         9         3         2         9         7         4         2
Vardas5883          Pavarde5883         2         10        8         1         10        1         3         1         6
Vardas5884          Pavarde5884         1         9         2         5         9         3         3         9         10
Vardas5885          Pavarde5885         1         8         7         9         7         9         8         3         7
Vardas5886          Pavarde5886         10        9         2         5         4         4         2         7         7
Vardas5887          Pavarde5887         8         2         8         10        3         5         2         10        8
Vardas5888          Pavarde5888         3         7         8         8         9         3         10        6         8
Vardas5889          Pavarde5889         6         8         4         9         5         6         10        1         3
Vardas5890          Pavarde5890         6         8         9         2         8         9         6         5         1
Vardas5891          Pavarde5891         2         4         7         4         4         10        8         10        6
Vardas5892          Pavarde5892         4         8         5         10        3         8         1         3         3
Vardas5893          Pavarde5893         10        2         5         10        6         7         6         10        3
Vardas5894          Pavarde5894         5         2         5         1         10        7         3         6         9
Vardas5895          Pavarde5895         5         10        1         2         6         3         7         2         1
Vardas5896          Pavarde5896         3         3         7         10        4         3         4         2         9
Vardas5897          Pavarde5897         8         4         1         10        6         5         8         9         7
Vardas5898          Pavarde5898         10        3         1         10        7         10        2         10        10
Vardas5899          Pavarde5899         9         4         1         1         7         9         3         1         7
Vardas5900          Pavarde5900         1         4         6         7         10        2         9         1         3
Vardas5901          Pavarde5901         2         7         4         9         7         2         1         2         9
Vardas5902          Pavarde5902         3         8         2         9         5         6         3         4         3
Vardas5903          Pavarde5903         9         3         4         9         9         7         10        5         6
Vardas5904          Pavarde5904         8         6         2         4         2         5         6         5         2
Vardas5905          Pavarde5905         9         5         2         5         4         2         3         5         7
Vardas5906          Pavarde5906         7         3         3         7         4         1         7         8         8
Vardas5907          Pavarde5907         5         9         8         6         1         8         6         7         4
Vardas5908          Pavarde5908         10        3         1         1         6         1         6         2         3
Vardas5909          Pavarde5909         7         9         3         10        6         7         3         6         1
Vardas5910          Pavarde5910         7         4         10        7         4         10        9         2         10
Vardas5911          Pavarde5911         2         7         1         1         9         1         5         2         9
Vardas5912          Pavarde5912         9         10        3         5         5         1         7         8         8
Vardas5913          Pavarde5913         1         1         9         6         3         1         6         6         3
Vardas5914          Pavarde5914         2         10        10        5         10        3         8         1         9
Vardas5915          Pavarde5915         6         3         9         7         3         9         8         4         2
Vardas5916          Pavarde5916         8         2         6         4         6         1         4         1         9
Vardas5917          Pavarde5917         10        9         10        3         6         8         7         5         7
Vardas5918          Pavarde5918         1         5         10        4         1         7         10        6         10
Vardas5919          Pavarde5919         10        1         1         10        2         3         1         6         3
Vardas5920          Pavarde5920         1         6         1         4         9         5         8         7         1
Vardas5921          Pavarde5921         4         10        6         7         1         6         5         8         6
Vardas5922          Pavarde5922         2         1         4         3         10        3         4         5         1
Vardas5923          Pavarde5923         5         3         3         3         1         5         3         3         8
Vardas5924          Pavarde5924         10        3         6         6         10        6         5         5         2
Vardas5925          Pavarde5925         8         7         7         8         6         10        5         7         7
Vardas5926          Pavarde5926         3         6         10        8         9         6         3         10        3
Vardas5927          Pavarde5927         2         6         8         9         1         5         8         7         5
Vardas5928          Pavarde5928         5         8         5         1         9         10        6         2         9
Vardas5929          Pavarde5929         9         8         3         4         8         7         9         9         2
Vardas5930          Pavarde5930         10        7         5         7         9         10        10        5         3
Vardas5931          Pavarde5931         9         3         6         1         8         3         6         7         6
Vardas5932          Pavarde5932         5         10        5         10        8         7         3         5         8
Vardas5933          Pavarde5933         2         5         7         6         10        9         5         4         1
Vardas5934          Pavarde5934         7         7         7         4         6         2         8         4         8
Vardas5935          Pavarde5935         9         5         3         6         10        4         3         2         8
Vardas5936          Pavarde5936         3         3         10        2         6         6         10        3         8
Vardas5937          Pavarde5937         10        6         1         2         7         1         5         9         9
Vardas5938          Pavarde5938         1         2         3         4         2         4         5         5         10
Vardas5939          Pavarde5939         4         4         8         10        2         1         10        10        7
Vardas5940          Pavarde5940         1         10        4         6         4         1         5         9         9
Vardas5941          Pavarde5941         5         7         4         3         9         6         2         7         5
Vardas5942          Pavarde5942         2         1         2         5         8         7         10        10        9
Vardas5943          Pavarde5943         5         1         7         7         6         4         10        5         2
Vardas5944          Pavarde5944         6         1         5         4         7         7         4         7         3
Vardas5945          Pavarde5945         4         6         5         7         1         8         4         10        4
Vardas5946          Pavarde5946         2         2         2         5         10        3         10        4         7
Vardas5947          Pavarde5947         3         10        4         3         3         6         5         9         3
Vardas5948          Pavarde5948         2         5         1         1         5         9         10        7         4
Vardas5949          Pavarde5949         4         3         8         9         1         9         7         5         4
Vardas5950          Pavarde5950         7         1         1         4         9         3         5         8         6
Vardas5951          Pavarde5951         3         9         4         3         9         6         10        7         1
Vardas5952          Pavarde5952         4         5         7         4         5         9         10        1         8
Vardas5953          Pavarde5953         4         7         3         4         7         9         8         9         1
Vardas5954          Pavarde5954         5         8         8         2         8         10        9         3         3
Vardas5955          Pavarde5955         6         10        9         1         7         10        10        5         8
Vardas5956          Pavarde5956         2         7         4         7         1         9         3         5         6
Vardas5957          Pavarde5957         6         10        8         2         3         8         8         10        2
Vardas5958          Pavarde5958         2         2         1         9         9         9         10        4         6
Vardas5959          Pavarde5959         4         2         1         3         1         2         7         8         2
Vardas5960          Pavarde5960         6         5         7         6         7         1         5         2         7
Vardas5961          Pavarde5961         4         6         5         4         5         3         9         4         8
Vardas5962          Pavarde5962         7         8         6         6         7         8         4         9         7
Vardas5963          Pavarde5963         4         6         1         6         9         5         6         8         10
Vardas5964          Pavarde5964         10        9         10        4         4         7         8         1         5
Vardas5965          Pavarde5965         7         6         5         6         1         1         7         5         4
Vardas5966          Pavarde5966         9         7         2         6         5         5         5         6         3
Vardas5967          Pavarde5967         3         7         2         10        10        7         7         3         10
Vardas5968          Pavarde5968         9         5         10        5         9         6         1         4         4
Vardas5969          Pavarde5969         7         7         7         9         10        1         10        6         7
Vardas5970          Pavarde5970         2         6         5         7         2         2         8         8         5
Vardas5971          Pavarde5971         5         2         7         8         7         9         6         1         2
Vardas5972          Pavarde5972         5         10        4         4         6         1         1         1         9
Vardas5973          Pavarde5973         9         2         6         7         6         10        1         3         7
Vardas5974          Pavarde5974         2         8         6         8         9         9         7         5         9
Vardas5975          Pavarde5975         10        7         10        2         6         7         6         6         8
Vardas5976          Pavarde5976         2         10        5         9         2         9         9         3         7
Vardas5977          Pavarde5977         8         8         1         8         9         4         1         1         8
Vardas5978          Pavarde5978         6         9         1         8         9         3         1         7         5
Vardas5979          Pavarde5979         10        5         5         2         9         2         3         8         3
Vardas5980          Pavarde5980         6         7         3         3         7         8         9         10        6
Vardas5981          Pavarde5981         5         4         7         3         8         5         7         10        3
Vardas5982          Pavarde5982         6         4         4         1         7         8         10        1         10
Vardas5983          Pavarde5983         10        4         4         3         7         5         8         6         8
Vardas5984          Pavarde5984         6         4         1         2         9         2         9         7         4
Vardas5985          Pavarde5985         7         6         2         10        9         7         1         4         6
Vardas5986          Pavarde5986         5         6         10        6         10        7         1         2         10
Vardas5987          Pavarde5987         2         8         3         6         8         9         10        4         6
Vardas5988          Pavarde5988         10        1         1         9         10        4         4         5         4
Vardas5989          Pavarde5989         7         2         10        2         5         5         7         2         6
Vardas5990          Pavarde5990         8         1         2         6         10        6         5         4         10
Vardas5991          Pavarde5991         7         4         3         4         4         10        3         3         7
Vardas5992          Pavarde5992         8         4         2         7         2         3         6         10        7
Vardas5993          Pavarde5993         3         8         4         8         4         9         8         8         6
Vardas5994          Pavarde5994         10        6         4         7         9         10        2         9         7
Vardas5995          Pavarde5995         8         9         10        4         9         1         4         4         8
Vardas5996          Pavarde5996         4         1         10        4         7         9         7         1         6
Vardas5997          Pavarde5997         9         6         8         3         8         10        7         2         3
Vardas5998          Pavarde5998         1         6         2         4         3         1         10        5         1
Vardas5999          Pavarde5999         3         8         8         10        7         8         2         3         6
Vardas6000          Pavarde6000         6         3         5         5         9         9         3         4         10
Vardas6001          Pavarde6001         4         8         7         7         8         1         9         1         5
Vardas6002          Pavarde6002         10        7         7         6         4         10        2         4         8
Vardas6003          Pavarde6003         10        6         5         4         2         2         2         2         2
Vardas6004          Pavarde6004         3         10        3         6         4         7         4         6         5
Vardas6005          Pavarde6005         6         7         10        9         4         6         5         7         9
Vardas6006          Pavarde6006         5         9         9         8         2         3         3         5         5
Vardas6007          Pavarde6007         2         4         1         3         8         8         2         10        4
Vardas6008          Pavarde6008         3         6         9         9         10        2         6         4         1
Vardas6009          Pavarde6009         4         5         8         10        8         10        1         8         2
Vardas6010          Pavarde6010         3         5         3         7         3         9         7         6         7
Vardas6011          Pavarde6011         5         7         9         3         4         5         5         1         4
Vardas6012          Pavarde6012         7         1         4         1         6         10        7         9         7
Vardas6013          Pavarde6013         10        3         4         8         4         8         3         6         4
Vardas6014          Pavarde6014         5         4         7         7         3         6         1         2         7
Vardas6015          Pavarde6015         10        3         9         8         5         2         2         10        10
Vardas6016          Pavarde6016         5         7         6         10        1         6         1         4         10
Vardas6017          Pavarde6017         10        6         5         10        6         8         6         4         3
Vardas6018          Pavarde6018         6         8         7         10        9         3         10        3         4
Vardas6019          Pavarde6019         5         4         4         3         6         7         1         1         5
Vardas6020          Pavarde6020         2         3         1         1         7         2         4         1         8
Vardas6021          Pavarde6021         9         6         5         8         9         3         1         7         1
Vardas6022          Pavarde6022         4         8         4         10        7         8         6         9         3
Vardas6023          Pavarde6023         1         3         9         7         3         2         2         10        9
Vardas6024          Pavarde6024         7         5         10        2         5         7         6         10        4
Vardas6025          Pavarde6025         6         10        8         8         5         6         5         2         6
Vardas6026          Pavarde6026         6         10        4         9         9         6         10        4         3
Vardas6027          Pavarde6027         3         8         3         6         10        4         2         3         10
Vardas6028          Pavarde6028         1         8         7         10        9         2         2         6         4
Vardas6029          Pavarde6029         7         4         1         2         7         10        10        4         5
Vardas6030          Pavarde6030         5         8         7         1         2         6         7         5         2
Vardas6031          Pavarde6031         5         5         8         9         5         1         2         5         3
Vardas6032          Pavarde6032         9         5         1         7         5         9         8         4         8
Vardas6033          Pavarde6033         1         9         1         1         3         7         2         4         7
Vardas6034          Pavarde6034         6         1         5         8         9         7         3         7         4
Vardas6035          Pavarde6035         3         10        6         8         1         3         6         4         6
Vardas6036          Pavarde6036         7         4         1         1         10        2         7         7         4
Vardas6037          Pavarde6037         2         1         5         4         4         1         3         2         10
Vardas6038          Pavarde6038         8         7         7         4         3         10        6         3         3
Vardas6039          Pavarde6039         10        1         9         9         5         4         1         2         5
Vardas6040          Pavarde6040         2         8         10        7         10        4         9         2         3
Vardas6041          Pavarde6041         5         1         3         8         10        4         10        1         10
Vardas6042          Pavarde6042         6         7         5         9         7         7         1         3         9
Vardas6043          Pavarde6043         7         10        9         10        4         10        5         8         1
Vardas6044          Pavarde6044         3         5         10        10        10        2         4         8         9
Vardas6045          Pavarde6045         6         3         5         7         6         2         4         10        8
Vardas6046          Pavarde6046         2         2         7         9         3         1         2         6         4
Vardas6047          Pavarde6047         5         9         6         8         2         6         2         7         5
Vardas6048          Pavarde6048         5         3         4         1         2         6         6         7         2
Vardas6049          Pavarde6049         6         1         5         4         6         4         2         5         2
Vardas6050          Pavarde6050         1         1         7         3         7         9         2         8         7
Vardas6051          Pavarde6051         4         4         9         2         3         5         8         8         8
Vardas6052          Pavarde6052         9         7         6         5         9         10        5         4         2
Vardas6053          Pavarde6053         1         6         4         8         2         4         3         5         4
Vardas6054          Pavarde6054         5         3         1         8         9         9         7         6         10
Vardas6055          Pavarde6055         3         1         9         4         7         8         4         1         7
Vardas6056          Pavarde6056         8         4         8         7         1         4         5         6         5
Vardas6057          Pavarde6057         3         2         6         5         2         6         4         6         4
Vardas6058          Pavarde6058         4         3         6         6         1         7         4         9         9
Vardas6059          Pavarde6059         4         7         2         9         4         10        4         2         7
Vardas6060          Pavarde6060         1         1         1         1         2         2         8         2         9
Vardas6061          Pavarde6061         3         3         7         3         3         1         7         2         9
Vardas6062          Pavarde6062         4         6         3         10        1         6         10        7         1
Vardas6063          Pavarde6063         4         9         10        3         1         2         10        8         6
Vardas6064          Pavarde6064         1         7         9         9         6         2         3         2         8
Vardas6065          Pavarde6065         4         7         7         2         9         8         6         1         6
Vardas6066          Pavarde6066         6         7         9         6         7         5         8         5         10
Vardas6067          Pavarde6067         1         9         4         8         3         5         2         6         1
Vardas6068          Pavarde6068         10        6         2         6         10        1         8         4         6
Vardas6069          Pavarde6069         4         3         10        2         7         9         5         6         7
Vardas6070          Pavarde6070         8         9         2         10        3         5         3         1         6
Vardas6071          Pavarde6071         4         5         5         6         8         8         2         2         3
Vardas6072          Pavarde6072         1         3         3         6         10        1         8         7         4
Vardas6073          Pavarde6073         1         10        10        2         9         9         1         5         4
Vardas6074          Pavarde6074         9         5         2         3         6         9         8         10        1
Vardas6075          Pavarde6075         5         3         9         2         9         3         8         5         6
Vardas6076          Pavarde6076         1         9         4         8         1         6         3         8         4
Vardas6077          Pavarde6077         2         7         4         4         5         4         5         8         5
Vardas6078          Pavarde6078         6         2         4         2         10        2         5         6         2
Vardas6079          Pavarde6079         6         3         8         1         1         9         2         4         7
Vardas6080          Pavarde6080         10        4         1         9         1         4         5         6         10
Vardas6081          Pavarde6081         7         8         4         9         7         4         2         2         8
Vardas6082          Pavarde6082         6         2         1         4         4         1         1         2         4
Vardas6083          Pavarde6083         1         1         6         1         10        5         2         3         2
Vardas6084          Pavarde6084         10        10        6         1         7         9         5         1         6
Vardas6085          Pavarde6085         4         10        5         10        7         3         9         2         7
Vardas6086          Pavarde6086         6         3         10        4         2         1         1         1         10
Vardas6087          Pavarde6087         10        9         6         1         1         6         10        4         2
Vardas6088          Pavarde6088         1         5         8         5         8         7         9         4         10
Vardas6089          Pavarde6089         8         1         4         6         2         6         7         4         1
Vardas6090          Pavarde6090         9         3         8         10        1         4         1         2         9
Vardas6091          Pavarde6091         10        4         6         4         9         2         8         8         3
Vardas6092          Pavarde6092         1         5         6         7         7         2         6         3         1
Vardas6093          Pavarde6093         10        6         1         2         5         6         6         7         2
Vardas6094          Pavarde6094         2         7         6         1         10        5         5         1         10
Vardas6095          Pavarde6095         4         5         10        1         2         8         8         3         9
Vardas6096          Pavarde6096         10        8         7         7         7         3         4         4         3
Vardas6097          Pavarde6097         8         6         2         10        3         2         9         7         4
Vardas6098          Pavarde6098         10        7         9         4         5         10        6         9         5
Vardas6099          Pavarde6099         7         9         7         10        10        10        6         9         7
Vardas6100          Pavarde6100         9         8         3         9         4         5         9         4         5
Vardas6101          Pavarde6101         5         6         9         5         3         9         9         2         1
Vardas6102          Pavarde6102         4         8         4         2         10        7         7         8         6
Vardas6103          Pavarde6103         8         10        3         6         2         5         1         4         2
Vardas6104          Pavarde6104         5         9         2         7         9         9         10        6         7
Vardas6105          Pavarde6105         7         2         2         4         5         10        3         9         8
Vardas6106          Pavarde6106         8         5         6         6         7         8         9         3         4
Vardas6107          Pavarde6107         5         7         6         8         3         3         4         9         9
Vardas6108          Pavarde6108         10        7         4         8         3         1         6         1         3
Vardas6109          Pavarde6109         3         8         3         8         9         4         4         5         8
Vardas6110          Pavarde6110         1         6         5         3         7         5         2         3         1
Vardas6111          Pavarde6111         8         1         9         3         3         3         3         7         4
Vardas6112          Pavarde6112         3         7         4         5         9         3         5         5         2
Vardas6113          Pavarde6113         3         2         8         4         9         9         2         2         3
Vardas6114          Pavarde6114         10        4         3         1         1         4         7         2         9
Vardas6115          Pavarde6115         6         4         2         4         8         4         1         3         2
Vardas6116          Pavarde6116         10        10        1         1         8         6         3         10        5
Vardas6117          Pavarde6117         9         4         2         5         2         5         7         1         2
Vardas6118          Pavarde6118         5         8         6         1         3         4         1         5         5
Vardas6119          Pavarde6119         10        2         8         1         9         4         8         10        8
Vardas6120          Pavarde6120         3         6         9         5         9         1         4         10        3
Vardas6121          Pavarde6121         5         8         5         10        2         9         7         7         10
Vardas6122          Pavarde6122         6         8         9         10        10        10        7         2         1
Vardas6123          Pavarde6123         8         8         2         1         3         10        1         5         9
Vardas6124          Pavarde6124         5         4         9         4         4         7         6         8         4
Vardas6125          Pavarde6125         9         10        9         5         4         7         8         5         6
Vardas6126          Pavarde6126         5         8         9         1         8         1         8         9         5
Vardas6127          Pavarde6127         1         7         6         5         1         8         7         5         9
Vardas6128          Pavarde6128         8         7         7         6         4         3         4         7         9
Vardas6129          Pavarde6129         5         1         9         3         10        10        2         6         8
Vardas6130          Pavarde6130         5         9         8         4         1         4         3         5         5
Vardas6131          Pavarde6131         4         3         9         9         4         2         5         1         8
Vardas6132          Pavarde6132         8         8         2         4         5         2         6         3         7
Vardas6133          Pavarde6133         9         6         2         6         9         8         4         5         5
Vardas6134          Pavarde6134         7         9         10        8         1         10        2         6         5
Vardas6135          Pavarde6135         10        8         10        10        5         1         5         5         5
Vardas6136          Pavarde6136         6         5         7         2         4         1         6         8         3
Vardas6137          Pavarde6137         10        10        1         8         4         10        3         3         5
Vardas6138          Pavarde6138         1         5         5         7         6         2         4         4         4
Vardas6139          Pavarde6139         7         9         1         1         10        7         4         1         10
Vardas6140          Pavarde6140         2         7         8         1         8         3         7         10        6
Vardas6141          Pavarde6141         3         5         1         7         2         5         2         6         3
Vardas6142          Pavarde6142         4         7         10        10        9         4         10        4         6
Vardas6143          Pavarde6143         5         5         3         10        9         8         4         2         5
Vardas6144          Pavarde6144         7         7         10        8         9         3         2         9         8
Vardas6145          Pavarde6145         4         6         4         5         6         8         3         6         10
Vardas6146          Pavarde6146         7         4         7         3         8         8         2         3         9
Vardas6147          Pavarde6147         2         7         5         7         2         2         2         6         3
Vardas6148          Pavarde6148         6         9         4         9         6         2         7         1         10
Vardas6149          Pavarde6149         5         3         3         1         9         7         1         2         3
Vardas6150          Pavarde6150         4         1         2         7         3         6         6         7         7
Vardas6151          Pavarde6151         4         5         2         4         9         9         6         1         5
Vardas6152          Pavarde6152         5         3         4         3         2         9         9         6         2
Vardas6153          Pavarde6153         10        10        5         5         6         10        4         2         9
Vardas6154          Pavarde6154         8         6         1         10        2         3         3         10        5
Vardas6155          Pavarde6155         7         7         3         2         1         6         10        10        8
Vardas6156          Pavarde6156         7         6         2         5         5         5         1         9         5
Vardas6157          Pavarde6157         3         8         10        10        3         4         5         6         7
Vardas6158          Pavarde6158         6         4         6         5         7         1         3         5         2
Vardas6159          Pavarde6159         6         6         7         2         9         9         5         4         9
Vardas6160          Pavarde6160         7         5         7         3         9         4         9         10        9
Vardas6161          Pavarde6161         6         4         2         8         8         9         4         10        4
Vardas6162          Pavarde6162         6         10        6         7         2         9         10        6         5
Vardas6163          Pavarde6163         9         1         10        7         10        6         6         3         3
Vardas6164          Pavarde6164         2         7         1         2         3         7         10        3         9
Vardas6165          Pavarde6165         4         8         5         6         9         2         2         8         3
Vardas6166          Pavarde6166         2         6         7         5         2         8         3         2         9
Vardas6167          Pavarde6167         9         2         8         2         4         7         5         6         4
Vardas6168          Pavarde6168         9         7         7         10        7         9         2         6         6
Vardas6169          Pavarde6169         4         3         2         10        7         5         6         4         10
Vardas6170          Pavarde6170         8         8         9         8         8         6         5         6         9
Vardas6171          Pavarde6171         6         7         7         6         4         7         4         7         5
Vardas6172          Pavarde6172         8         7         8         9         2         8         7         10        2
Vardas6173          Pavarde6173         8         5         3         8         7         7         7         7         1
Vardas6174          Pavarde6174         6         10        10        6         6         8         4         9         5
Vardas6175          Pavarde6175         1         8         2         4         4         9         2         2         3
Vardas6176          Pavarde6176         3         10        2         4         10        2         1         8         4
Vardas6177          Pavarde6177         8         2         6         5         3         8         6         6         2
Vardas6178          Pavarde6178         8         9         7         1         1         2         8         6         2
Vardas6179          Pavarde6179         10        4         9         2         10        3         8         8         4
Vardas6180          Pavarde6180         9         3         10        3         8         8         7         4         5
Vardas6181          Pavarde6181         8         2         9         8         5         3         1         1         9
Vardas6182          Pavarde6182         4         4         2         6         9         3         9         10        1
Vardas6183          Pavarde6183         9         6         8         5         9         4         10        8         3
Vardas6184          Pavarde6184         3         5         4         6         2         10        10        10        7
Vardas6185          Pavarde6185         8         2         1         6         5         2         3         10        10
Vardas6186          Pavarde6186         6         9         7         6         8         8         9         10        2
Vardas6187          Pavarde6187         8         3         2         3         3         7         9         8         6
Vardas6188          Pavarde6188         2         6         5         7         4         6         6         9         7
Vardas6189          Pavarde6189         6         7         4         7         5         3         3         5         9
Vardas6190          Pavarde6190         2         9         6         9         8         6         10        4         2
Vardas6191          Pavarde6191         10        9         7         5         9         4         10        3         4
Vardas6192          Pavarde6192         3         4         1         6         7         3         3         9         6
Vardas6193          Pavarde6193         5         9         7         3         7         7         9         10        3
Vardas6194          Pavarde6194         6         9         5         5         1         1         3         7         7
Vardas6195          Pavarde6195         7         9         8         6         6         2         7         7         7
Vardas6196          Pavarde6196         4         8         9         10        3         8         7         5         8
Vardas6197          Pavarde6197         5         7         6         10        3         6         7         8         1
Vardas6198          Pavarde6198         3         4         8         9         8         6         9         1         4
Vardas6199          Pavarde6199         2         8         4         5         2         7         9         5         9
Vardas6200          Pavarde6200         7         8         5         1         8         6         10        5         9
Vardas6201          Pavarde6201         8         6         5         9         7         10        8         5         8
Vardas6202          Pavarde6202         8         6         2         4         3         9         8         4         9
